scanId,split
scene_00001_01,train
scene_00010_01,train
scene_00011_01,train
scene_00013_01,train
scene_00014_01,train
scene_00016_01,train
scene_00017_01,train
scene_00020_01,train
scene_00024_01,train
scene_00025_01,train
scene_00026_01,train
scene_00027_01,train
scene_00029_01,train
scene_00031_01,train
scene_00034_01,train
scene_00035_01,train
scene_00036_01,train
scene_00037_01,train
scene_00039_01,train
scene_00040_01,train
scene_00042_01,train
scene_00043_01,train
scene_00045_01,train
scene_00046_01,train
scene_00047_01,train
scene_00049_01,train
scene_00050_01,train
scene_00056_01,train
scene_00057_01,train
scene_00060_01,train
scene_00061_01,train
scene_00062_01,train
scene_00066_01,train
scene_00070_01,train
scene_00076_01,train
scene_00080_01,train
scene_00083_01,train
scene_00088_01,train
scene_00092_01,train
scene_00095_01,train
scene_00099_01,train
scene_00100_01,train
scene_00101_01,train
scene_00102_01,train
scene_00104_01,train
scene_00105_01,train
scene_00106_01,train
scene_00107_01,train
scene_00108_01,train
scene_00109_01,train
scene_00110_01,train
scene_00111_01,train
scene_00112_01,train
scene_00113_01,train
scene_00114_01,train
scene_00115_01,train
scene_00116_01,train
scene_00021_00,val
scene_00021_01,val
scene_00028_00,val
scene_00028_01,val
scene_00064_00,val
scene_00064_01,val
scene_00074_00,val
scene_00074_01,val
scene_00084_00,val
scene_00084_01,val
scene_00087_00,val
scene_00087_01,val
scene_00005_00,test
scene_00005_01,test
scene_00006_00,test
scene_00006_01,test
scene_00018_00,test
scene_00018_01,test
scene_00019_00,test
scene_00019_01,test
scene_00022_00,test
scene_00022_01,test
scene_00030_00,test
scene_00030_01,test
scene_00044_00,test
scene_00044_01,test
scene_00048_00,test
scene_00048_01,test
scene_00051_00,test
scene_00051_01,test
scene_00055_00,test
scene_00055_01,test
scene_00058_00,test
scene_00058_01,test
scene_00065_00,test
scene_00065_01,test
scene_00075_00,test
scene_00075_01,test
scene_00077_00,test
scene_00077_01,test
scene_00086_00,test
scene_00086_01,test
scene_00089_00,test
scene_00089_01,test
scene_00091_00,test
scene_00091_01,test
scene_00093_00,test
scene_00093_01,test
scene_00096_00,test
scene_00096_01,test
scene_00098_00,test
scene_00098_01,test
